;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
              |            |            |     |   |   |    |   |    
34; 23        |inc (hl+)   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
34; 2B        |inc (hl-)   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
35            |dcr m       |~           |     |   |   |    |   |    
              |dec (hl)    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
35; 23        |dec (hl+)   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
35; 2B        |dec (hl-)   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
36 %n         |ld (hl), %n |~           |     |   |   |    |   |    
              |mvi m, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
36 %n; 23     |ld (hl+), %n|~           |     |   |   |    |   |    
              |ldi (hl), %n|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
36 %n; 2B     |ld (hl-), %n|~           |     |   |   |    |   |    
              |ldd (hl), %n|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
37            |scf         |~           |     |   |   |    |   |    
              |stc         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
38 %n         |            |adi sp, %n  |     |   |   |    |   |    
              |            |ld de, sp+%n|     |   |   |    |   |    
              |            |ldsi %n     |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
39            |add hl, sp  |~           |     |   |   |    |   |    
              |dad sp      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
3A %m %m      |ld a, (%m)  |~           |     |   |   |    |   |    
              |lda %m      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
3B            |dcx sp      |~           |     |   |   |    |   |    
              |dec sp      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
3C            |inc a       |~           |     |   |   |    |   |    
              |inr a       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
3D            |dcr a       |~           |     |   |   |    |   |    
              |dec a       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
3E %n         |ld a, %n    |~           |     |   |   |    |   |    
              |mvi a, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
3F            |ccf         |~           |     |   |   |    |   |    
              |cmc         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
40            |ld b, b     |~           |     |   |   |    |   |    
              |mov b, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
40; 49        |ld bc, bc   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
41            |ld b, c     |~           |     |   |   |    |   |    
              |mov b, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
42            |ld b, d     |~           |     |   |   |    |   |    
              |mov b, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
42; 4B        |ld bc, de   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
43            |ld b, e     |~           |     |   |   |    |   |    
              |mov b, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
44            |ld b, h     |~           |     |   |   |    |   |    
              |mov b, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
44; 4D        |ld bc, hl   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
45            |ld b, l     |~           |     |   |   |    |   |    
              |mov b, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
46            |ld b, (hl)  |~           |     |   |   |    |   |    
              |mov b, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
46; 23        |ld b, (hl+) |~           |     |   |   |    |   |    
              |ldi b, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
46; 2B        |ld b, (hl-) |~           |     |   |   |    |   |    
              |ldd b, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
47            |ld b, a     |~           |     |   |   |    |   |    
              |mov b, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
48            |ld c, b     |~           |     |   |   |    |   |    
              |mov c, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
49            |ld c, c     |~           |     |   |   |    |   |    
              |mov c, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4A            |ld c, d     |~           |     |   |   |    |   |    
              |mov c, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4B            |ld c, e     |~           |     |   |   |    |   |    
